Flight	Flight Time	Entry	Data
1	0	20	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.13685 ] m  East: [ 0.13071 ] m  Down: [ 1.49109 ] m 
32769	0	18480	
45057	0	18654	
12289	0	18728	
32769	0	18801	
53249	0	18874	
57345	0	18947	
12289	0	19021	
40961	0	19094	
4097	0	19168	
32769	0	19241	
1	0	21	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.131497 ] m  East: [ 0.0831873 ] m  Down: [ 1.47998 ] m 
61441	0	19314	
32769	0	19473	
1	0	19547	
20481	0	19620	
49153	0	19693	
12289	0	19767	
40961	0	19840	
4097	0	19914	
32769	0	19987	
61441	0	20060	
1	0	22	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.129359 ] m  East: [ 0.0579501 ] m  Down: [ 1.47794 ] m 
24577	0	20134	
28673	0	20292	
4097	0	20366	
32769	0	20439	
36865	0	20512	
1	0	20586	
28673	0	20659	
57345	0	20732	
20481	0	20806	
49153	0	20879	
1	0	23	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.137438 ] m  East: [ 0.00946234 ] m  Down: [ 1.4823 ] m 
12289	0	20953	
40961	0	21115	
24577	0	21188	
45057	0	21261	
1	0	21335	
20481	0	21408	
49153	0	21481	
12289	0	21554	
32769	0	21627	
61441	0	21700	
1	0	24	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.137451 ] m  East: [ 0.0344754 ] m  Down: [ 1.47568 ] m 
24577	0	21774	
28673	0	21939	
61441	0	22012	
28673	0	22085	
49153	0	22158	
4097	0	22232	
24577	0	22305	
45057	0	22378	
8193	0	22452	
36865	0	22525	
1	0	25	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.125158 ] m  East: [ 0.0183137 ] m  Down: [ 1.4689 ] m 
1	1661698119	22599	
45057	0	22758	
12289	0	22832	
32769	0	22905	
53249	0	22978	
8193	0	23052	
57345	0	23124	
20481	0	23198	
49153	0	23271	
16385	0	13781	
1	0	26	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.104389 ] m  East: [ 0.0221331 ] m  Down: [ 1.47195 ] m 
45057	0	23426	
1	0	23587	
57345	0	23659	
12289	0	23733	
32769	0	23806	
53249	0	23879	
8193	0	23953	
28673	0	24026	
57345	0	24099	
20481	0	24173	
1	0	27	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.0992532 ] m  East: [ -0.00841774 ] m  Down: [ 1.46971 ] m 
53249	0	24246	
53249	131	24405	
20481	0	24479	
40961	0	24552	
61441	0	24625	
16385	0	24699	
49153	0	24771	
4097	0	24845	
24577	0	24918	
53249	0	24991	
1	0	28	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.108357 ] m  East: [ 0.024418 ] m  Down: [ 1.45568 ] m 
16385	0	25065	
32769	0	25224	
61441	0	25296	
16385	0	25370	
36865	0	25443	
57345	0	25516	
12289	0	25590	
40961	0	25663	
4097	0	25737	
32769	0	25810	
1	0	29	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.119403 ] m  East: [ 0.00594898 ] m  Down: [ 1.42658 ] m 
61441	0	25883	
57345	0	26042	
32769	0	26116	
61441	0	26189	
24577	0	26263	
4097	0	26336	
32769	0	26409	
61441	0	26482	
24577	0	26556	
53249	0	26629	
1	0	30	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.119903 ] m  East: [ -0.00882143 ] m  Down: [ 1.42061 ] m 
16385	0	26703	
1	0	26838	
40961	0	26910	
4097	0	26983	
32769	0	27055	
61441	0	27127	
24577	0	27200	
4097	0	27273	
36865	0	27346	
1	0	27420	
1	2365021990	31	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.14276 ] m  East: [ -0.0691274 ] m  Down: [ 1.42072 ] m 
28673	0	27493	
45057	0	27652	
20481	0	27726	
49153	0	27799	
57345	0	27872	
1	0	27946	
28673	0	28019	
57345	0	28092	
20481	0	28166	
49153	0	28239	
1	0	32	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.149084 ] m  East: [ -0.113033 ] m  Down: [ 1.42179 ] m 
12289	0	28313	
53249	0	28486	
20481	0	28560	
40961	0	28633	
61441	0	28706	
16385	0	28780	
36865	0	28853	
57345	0	28926	
40961	0	28998	
61441	0	29071	
1	0	33	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.152073 ] m  East: [ -0.118268 ] m  Down: [ 1.40938 ] m 
16385	0	29145	
40961	0	29303	
8193	0	29377	
28673	0	29450	
1	0	29523	
20481	0	29596	
49153	0	29669	
12289	0	29743	
40961	0	29816	
4097	0	29890	
1	0	34	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.183388 ] m  East: [ -0.121726 ] m  Down: [ 1.41383 ] m 
32769	0	29963	
53249	0	30126	
36865	0	30199	
1	0	30273	
28673	0	30346	
57345	0	30419	
20481	0	30493	
1	0	30566	
28673	0	30639	
57345	0	30712	
1	0	35	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.194211 ] m  East: [ -0.154545 ] m  Down: [ 1.41321 ] m 
20481	0	30786	
53249	0	30944	
20481	0	31018	
1	0	31091	
20481	0	31164	
49153	0	31237	
12289	0	31311	
40961	0	31384	
4097	0	31458	
32769	0	31531	
1	0	36	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.192692 ] m  East: [ -0.142817 ] m  Down: [ 1.39826 ] m 
61441	0	31604	
28673	0	31764	
61441	0	31837	
16385	0	31911	
36865	0	31984	
57345	0	32057	
36865	0	32130	
57345	0	32203	
12289	0	32277	
32769	0	32350	
1	0	37	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.201822 ] m  East: [ -0.134056 ] m  Down: [ 1.39193 ] m 
53249	0	32423	
40961	0	32582	
32769	0	32655	
53249	0	32728	
8193	0	32802	
28673	0	32875	
49153	0	32948	
4097	0	33022	
24577	0	33095	
53249	0	33168	
1	0	38	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.222861 ] m  East: [ -0.146848 ] m  Down: [ 1.38094 ] m 
16385	0	33242	
16385	4294967242	33403	
49153	0	33476	
4097	0	33550	
24577	0	33623	
4097	0	33696	
24577	0	33769	
53249	0	33842	
16385	0	33916	
45057	0	33989	
1	0	39	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.221699 ] m  East: [ -0.175672 ] m  Down: [ 1.36427 ] m 
8193	0	34063	
28673	0	34221	
61441	0	34294	
16385	0	34368	
45057	0	34441	
8193	0	34515	
36865	0	34588	
1	0	34662	
28673	0	34735	
53249	0	34808	
1	0	40	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.219945 ] m  East: [ -0.168151 ] m  Down: [ 1.35274 ] m 
16385	0	34882	
20481	0	35040	
61441	0	35113	
24577	0	35187	
53249	0	35260	
57345	0	35333	
20481	0	35407	
49153	0	35480	
12289	0	35554	
40961	0	35627	
1	0	41	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.222925 ] m  East: [ -0.168903 ] m  Down: [ 1.35685 ] m 
4097	0	35701	
36865	0	35858	
4097	0	35932	
24577	0	36005	
45057	0	36078	
1	0	36152	
20481	0	36225	
40961	0	36298	
4097	0	36372	
24577	0	36445	
1	0	42	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.230995 ] m  East: [ -0.202567 ] m  Down: [ 1.3424 ] m 
45057	0	36518	
12289	0	36679	
53249	0	36752	
16385	0	36826	
61441	0	36898	
24577	0	36972	
53249	0	37045	
16385	0	37119	
45057	0	37192	
8193	0	37266	
1	0	43	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.240241 ] m  East: [ -0.214663 ] m  Down: [ 1.34645 ] m 
36865	0	37339	
53249	0	37498	
20481	0	37572	
40961	0	37645	
61441	0	37718	
16385	0	37792	
36865	0	37865	
4097	0	37938	
24577	0	38011	
45057	0	38084	
1	0	44	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.244286 ] m  East: [ -0.209569 ] m  Down: [ 1.33316 ] m 
8193	0	38158	
16385	0	38317	
49153	0	38390	
28673	0	38463	
49153	0	38536	
4097	0	38610	
32769	0	38683	
61441	0	38756	
24577	0	38830	
53249	0	38903	
1	0	45	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.248557 ] m  East: [ -0.229646 ] m  Down: [ 1.33269 ] m 
16385	0	38977	
24577	0	39136	
57345	0	39209	
12289	0	39283	
32769	0	39356	
53249	0	39429	
32769	0	39502	
53249	0	39575	
16385	0	39649	
45057	0	39722	
1	0	46	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.255822 ] m  East: [ -0.230992 ] m  Down: [ 1.32094 ] m 
8193	0	39796	
57345	0	39955	
40961	0	40028	
4097	0	40102	
32769	0	40175	
61441	0	40248	
24577	0	40322	
53249	0	40395	
16385	0	40469	
45057	0	40542	
1	0	47	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.258721 ] m  East: [ -0.234038 ] m  Down: [ 1.31192 ] m 
4097	0	40616	
24577	0	40776	
57345	0	40849	
20481	0	40923	
49153	0	40996	
12289	0	41070	
16385	0	41143	
45057	0	41216	
8193	0	41290	
36865	0	41363	
1	0	48	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.282144 ] m  East: [ -0.252541 ] m  Down: [ 1.31083 ] m 
1	2892767894	41437	
8193	0	41596	
61441	0	41668	
16385	0	41742	
45057	0	41815	
8193	0	41889	
36865	0	41962	
1	0	42036	
28673	0	42109	
57345	0	42182	
1	0	49	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.288205 ] m  East: [ -0.287536 ] m  Down: [ 1.31941 ] m 
20481	0	42256	
12289	0	23345	
4097	0	42503	
24577	0	42576	
45057	0	42649	
4097	0	42723	
24577	0	42796	
45057	0	42869	
1	0	42943	
20481	0	43016	
1	0	50	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.306346 ] m  East: [ -0.319295 ] m  Down: [ 1.32097 ] m 
40961	0	43089	
12289	0	43247	
45057	0	43320	
1	0	43394	
28673	0	43467	
57345	0	43540	
20481	0	43614	
49153	0	43687	
12289	0	43761	
40961	0	43834	
1	0	51	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.301405 ] m  East: [ -0.314539 ] m  Down: [ 1.34002 ] m 
4097	0	43908	
24577	0	44096	
57345	0	44169	
57345	4294967246	44241	
12289	0	44315	
32769	0	44388	
53249	0	44461	
16385	0	44535	
45057	0	44608	
8193	0	44682	
1	0	52	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.295734 ] m  East: [ -0.310487 ] m  Down: [ 1.35453 ] m 
36865	0	44755	
32769	0	44929	
1	0	45003	
28673	0	45076	
57345	0	45149	
20481	0	45223	
61441	0	45295	
61441	245	45369	
24577	0	45443	
53249	0	45516	
1	0	53	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.315238 ] m  East: [ -0.270951 ] m  Down: [ 1.36669 ] m 
16385	0	45590	
36865	0	45749	
4097	0	45823	
12289	0	45895	
32769	0	45968	
53249	0	46041	
16385	0	46115	
45057	0	46188	
8193	0	46262	
36865	0	46335	
1	0	54	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.322966 ] m  East: [ -0.284852 ] m  Down: [ 1.35349 ] m 
1	3217626310	46409	
36865	0	46567	
4097	0	46641	
24577	0	46714	
45057	0	46787	
1	0	46861	
45057	0	46933	
8193	0	47007	
36865	0	47080	
1	0	47154	
1	1077452380	55	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.321015 ] m  East: [ -0.323494 ] m  Down: [ 1.37368 ] m 
28673	0	47227	
61441	0	47387	
53249	0	47460	
8193	0	47534	
36865	0	47607	
1	0	47681	
28673	0	47754	
57345	0	47827	
20481	0	47901	
49153	0	47974	
1	0	56	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.327352 ] m  East: [ -0.320917 ] m  Down: [ 1.36105 ] m 
12289	0	48048	
32769	0	48212	
1	0	48286	
20481	0	48359	
40961	0	48432	
45057	0	48505	
1	0	48579	
28673	0	48652	
57345	0	48725	
20481	0	48799	
1	0	57	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.333787 ] m  East: [ -0.326551 ] m  Down: [ 1.36761 ] m 
49153	0	48872	
