Flight	Flight Time	Entry	Data
1	1578235504	0	On board logging enabled.
1	1578239089	1	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0 ] m  East: [ 0 ] m  Down: [ 0 ] m 
1	1103413298	0	
32769	0	4651	
45057	0	4641	
61441	0	4904	
8193	0	33898	
49153	0	24912	
53249	0	54586	
36865	0	34055	
61441	0	55443	
20481	0	55443	
1	0	1	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.146291 ] m  East: [ 0.213371 ] m  Down: [ -0.240981 ] m 
61441	0	6021	
32769	0	6193	
20481	0	55541	
8193	0	56594	
24577	0	5780	
24577	116	54555	
49153	0	54649	
57345	0	16442	
4097	0	6246	
20481	0	6319	
1	0	2	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.360098 ] m  East: [ 0.213371 ] m  Down: [ -0.370543 ] m 
49153	0	34736	
36865	0	34894	
4097	0	34968	
1	0	16580	
45057	0	16651	
4097	0	16725	
28673	0	16798	
53249	0	16871	
16385	0	16947	
40961	0	17019	
1	0	3	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.213808 ] m  East: [ 0 ] m  Down: [ -0.129562 ] m 
1	2013711269	17093	
20481	0	17264	
36865	0	17337	
61441	0	17410	
20481	0	17484	
45057	0	17557	
4097	0	17631	
28673	0	17704	
53249	0	17777	
12289	0	17851	
1	0	4	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.213808 ] m  East: [ 0 ] m  Down: [ -0.129562 ] m 
36865	0	17924	
4097	0	18083	
45057	0	18156	
4097	0	18230	
28673	0	18303	
53249	0	18376	
12289	0	18450	
36865	0	18523	
61441	0	18596	
20481	0	18670	
1	0	5	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.213808 ] m  East: [ 0 ] m  Down: [ -0.129562 ] m 
45057	0	18743	
12289	0	18901	
53249	0	18974	
12289	0	19048	
36865	0	19121	
53249	0	19194	
4097	0	19268	
12289	0	16945	
8193	0	6743	
32769	0	6816	
1	0	6	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.213808 ] m  East: [ 0 ] m  Down: [ -0.129562 ] m 
57345	0	6889	
1	0	7048	
40961	0	7121	
1	0	7195	
24577	0	7268	
49153	0	7341	
8193	0	7415	
32769	0	7488	
57345	0	7561	
16385	0	7635	
1	0	7	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.213808 ] m  East: [ 0 ] m  Down: [ -0.129562 ] m 
40961	0	7708	
40961	4294967265	7866	
16385	0	7940	
40961	0	8013	
1	0	8087	
24577	0	8160	
49153	0	8233	
8193	0	8307	
32769	0	8380	
57345	0	8453	
1	0	8	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.213808 ] m  East: [ 0 ] m  Down: [ -0.129562 ] m 
16385	0	8527	
28673	0	8685	
4097	0	8759	
28673	0	8832	
53249	0	8905	
12289	0	8979	
36865	0	9052	
61441	0	9125	
20481	0	9199	
45057	0	9272	
1	0	9	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.221158 ] m  East: [ -0.26056 ] m  Down: [ -0.364963 ] m 
4097	0	9346	
57345	0	9504	
32769	0	9578	
57345	0	9651	
16385	0	9725	
40961	0	9798	
1	0	9872	
24577	0	9945	
49153	0	10018	
8193	0	10092	
1	0	10	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.502483 ] m  East: [ -0.0471887 ] m  Down: [ -0.34682 ] m 
32769	0	10165	
20481	0	10323	
61441	0	10396	
20481	0	10470	
45057	0	10543	
4097	0	10617	
28673	0	10690	
53249	0	10763	
12289	0	10837	
36865	0	10910	
1	0	11	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.434965 ] m  East: [ -0.26056 ] m  Down: [ -0.235401 ] m 
61441	0	10983	
16385	0	11142	
57345	0	11215	
16385	0	11289	
40961	0	11362	
20481	0	19341	
36865	0	11513	
61441	0	11586	
20481	0	11660	
45057	0	11733	
1	0	12	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.367448 ] m  East: [ -0.473931 ] m  Down: [ -0.123982 ] m 
4097	0	11807	
40961	0	11969	
49153	0	12041	
49153	4294967281	12113	
49153	4294967127	12185	
32769	0	12258	
57345	0	12331	
16385	0	12405	
40961	0	12478	
1	0	12552	
1	800847016	13	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.367448 ] m  East: [ -0.473931 ] m  Down: [ -0.123982 ] m 
24577	0	12625	
32769	0	12783	
8193	0	12857	
32769	0	12930	
57345	0	13003	
16385	0	13077	
40961	0	13150	
1	0	13224	
24577	0	13297	
49153	0	13370	
1	0	14	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ -0.146291 ] m  East: [ -0.213371 ] m  Down: [ 0.240981 ] m 
