Flight	Flight Time	Entry	Data
36865	0	47810	
1	0	47884	
3	0	10797	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.365957 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -85.347 ] degreesGroundspeed: [ 0.481068 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
28673	0	47957	
36865	0	48155	
57345	0	48228	
20481	0	48302	
49153	0	48375	
28673	0	48448	
57345	0	48521	
20481	0	48595	
49153	0	48668	
3	0	10798	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.365957 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -85.347 ] degreesGroundspeed: [ 0.481068 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
12289	0	48742	
20481	0	48940	
40961	0	49012	
4097	0	49086	
32769	0	49159	
61441	0	49232	
24577	0	49306	
53249	0	49379	
16385	0	49453	
3	0	10799	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.365957 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -85.347 ] degreesGroundspeed: [ 0.481068 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
45057	0	49526	
36865	0	49724	
57345	0	49797	
20481	0	49871	
49153	0	49944	
32769	0	50017	
1	0	50091	
28673	0	50164	
57345	0	50237	
3	0	10800	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.365957 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -85.347 ] degreesGroundspeed: [ 0.481068 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
20481	0	50311	
4097	0	50511	
49153	0	50583	
12289	0	50657	
40961	0	50730	
4097	0	50804	
32769	0	50877	
61441	0	50950	
24577	0	51024	
3	0	10801	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.365957 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -85.347 ] degreesGroundspeed: [ 0.481068 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
53249	0	51097	
4097	0	51296	
24577	0	51369	
45057	0	51442	
1	0	51516	
20481	0	51589	
16385	0	51662	
36865	0	51735	
1	0	51809	
3	0	10802	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.365957 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -85.347 ] degreesGroundspeed: [ 0.481068 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
28673	0	51882	
61441	0	52079	
16385	0	52152	
36865	0	52225	
57345	0	52298	
20481	0	52372	
49153	0	52445	
12289	0	52519	
40961	0	52592	
3	0	10803	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
4097	0	52666	
28673	0	52864	
49153	0	52937	
4097	0	53011	
24577	0	53084	
45057	0	53157	
12289	0	53230	
32769	0	53303	
53249	0	53376	
