Flight	Flight Time	Entry	Data
1	1578235504	0	On board logging enabled.
1	1578239089	1	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0 ] mEast: [ 0 ] mDown: [ 0 ] m
1	50	12	
1	110	29	
1	182	46	
1	125	63	
1	1	80	
1	118	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1578732430	1	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.146291 ] mEast: [ 0.213371 ] mDown: [ -0.240981 ] m
1	169	12	
1	52	29	
1	182	46	
1	125	63	
1	2	80	
1	118	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1578863951	2	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.360098 ] mEast: [ 0.213371 ] mDown: [ -0.370543 ] m
1	113	12	
1	208	29	
1	182	46	
1	125	63	
1	3	80	
1	189	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1579000924	3	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.213808 ] mEast: [ 0 ] mDown: [ -0.129562 ] m
1	1	12	
1	107	29	
1	182	46	
1	0	63	
1	4	80	
1	4	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1579185931	4	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.213808 ] mEast: [ 0 ] mDown: [ -0.129562 ] m
1	208	12	
1	107	29	
1	182	46	
1	0	63	
1	5	80	
1	4	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1579295711	5	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.213808 ] mEast: [ 0 ] mDown: [ -0.129562 ] m
1	62	12	
1	107	29	
1	182	46	
1	0	63	
1	6	80	
1	4	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1579413004	6	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.213808 ] mEast: [ 0 ] mDown: [ -0.129562 ] m
1	79	12	
1	107	29	
1	182	46	
1	0	63	
1	7	80	
1	4	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1579468813	7	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.213808 ] mEast: [ 0 ] mDown: [ -0.129562 ] m
1	138	12	
1	107	29	
1	182	46	
1	0	63	
1	8	80	
1	4	97	
1	0	114	
1	94	131	
1	62	148	
1	0	165	
1	1579588643	8	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.213808 ] mEast: [ 0 ] mDown: [ -0.129562 ] m
1	24	12	
1	107	29	
1	182	46	
1	0	63	
1	9	80	
1	186	97	
1	0	114	
1	94	131	
1	190	148	
1	0	165	
1	1579739572	9	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ -0.221158 ] mEast: [ -0.26056 ] mDown: [ -0.364963 ] m
1	210	12	
1	46	29	
1	182	46	
1	0	63	
1	10	80	
1	0	97	
1	0	114	
1	94	131	
1	191	148	
1	0	165	
1	1579875567	10	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ -0.502483 ] mEast: [ -0.0471887 ] mDown: [ -0.34682 ] m
1	14	12	
1	180	29	
1	182	46	
1	72	63	
1	11	80	
1	113	97	
1	0	114	
1	94	131	
1	190	148	
1	0	165	
1	1579990472	11	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ -0.434965 ] mEast: [ -0.26056 ] mDown: [ -0.235401 ] m
1	87	12	
1	204	29	
1	182	46	
1	167	63	
1	12	80	
1	253	97	
1	0	114	
1	94	131	
1	190	148	
1	0	165	
1	1580202107	12	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ -0.367448 ] mEast: [ -0.473931 ] mDown: [ -0.123982 ] m
1	230	12	
1	49	29	
1	182	46	
1	167	63	
1	13	80	
1	253	97	
1	0	114	
1	94	131	
1	190	148	
1	0	165	
1	1580303528	13	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ -0.367448 ] mEast: [ -0.473931 ] mDown: [ -0.123982 ] m
1	96	12	
1	49	29	
1	182	46	
1	167	63	
1	14	80	
1	253	97	
1	0	114	
1	94	131	
1	190	148	
1	0	165	
1	1580446418	14	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ -0.146291 ] mEast: [ -0.213371 ] mDown: [ 0.240981 ] m
1	145	12	
1	52	29	
1	182	46	
1	125	63	
1	15	80	
1	228	97	
1	0	114	
1	94	131	
1	61	148	
1	0	165	
1	1580487522	15	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single)Data:North: [ 0.0675171 ] mEast: [ -0.213371 ] mDown: [ 0.111419 ] m
1	35	12	
1	110	29	
1	182	46	
1	125	63	
1	16	80	
1	228	97	
1	0	114	
1	94	131	
1	61	148	
1	0	165	
